,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Dua Lipa,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,90,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
1,Hammock,Longest Year - 2020,51TAp7p7B3xboCl5HWmEkF,26,0.0692,0.285,2,-14.854,1,0.0482,0.7,0.673,0.199,0.0312,78.572,533707,4
2,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,93,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
3,Tame Impala,Alter Ego - 2020 Mix,457sndKohlwTU6dW6amBMU,52,0.408,0.903,0,-2.924,1,0.0561,0.00256,0.000821,0.117,0.368,128.942,289867,4
4,Kali Uchis,telepatía,6tDDoYIxWvMLTdKpjFkc1B,90,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,4
5,Year 200X,Ducktales (the Moon),0r5y3Ia2Wu3UkenDH2Ulhk,20,0.257,0.725,7,-6.721,1,0.039,0.000159,0.846,0.157,0.405,82.509,131253,4
6,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,85,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4
7,Tame Impala,Runway Houses City Clouds - 2020 Mix,2rOsZbCZxH7P4mvuiBIgoP,44,0.51,0.814,3,-3.766,1,0.0406,0.112,0.343,0.169,0.512,119.051,428627,4
8,Polo G,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,85,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4
9,Zager & Evans,In the Year 2525,3LdLGNKCW0dNr14JQlZPQt,36,0.437,0.605,8,-5.5,0,0.0329,0.00924,0.118,0.264,0.581,125.114,191160,4
10,Year 200X,Zelda II (Title - Battle - Fairy - Palace),1mo7zvAi0AFpLj4ODV9AyY,18,0.112,0.709,7,-8.903,1,0.0596,4.74e-05,0.879,0.0709,0.146,54.37,386227,3
11,Machine Gun Kelly,my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,84,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4
12,Hammock,Dark Beyond the Blue - 2020,79hqdNpnWPVVxmZiDfKaIL,40,0.2,0.282,2,-19.803,0,0.0468,0.729,0.887,0.0837,0.0372,74.381,325680,3
13,Glass Animals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,84,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
14,Jonas Brothers,Year 3000,7BbyWKteSctTKe696qf7fw,49,0.622,0.919,11,-4.088,1,0.0651,0.0163,6.87e-06,0.523,0.81,107.06,201813,4
15,Giveon,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,88,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3
16,The Glitch Mob,Between Two Points (feat. Swan) - 2020 Remaster,0sfly5zhJJhfoLbcCMmiRB,36,0.507,0.605,6,-8.632,0,0.0449,0.0406,0.0396,0.236,0.217,121.999,333194,4
17,Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,82,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4
18,The Kid LAROI,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,88,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,4
19,The Rolling Stones,100 Years Ago - 2020,0RJplx8HMNZsBYmvjCsnO4,34,0.398,0.804,9,-5.255,0,0.0455,0.151,0.173,0.217,0.687,124.305,238133,4
20,Nelly,Lil Bit,0NmuYnjETG3u3qx0OmEJev,81,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,195962,4
21,Papa Roach,Gravity - Remastered 2020,4zN1YCljFntHRccaX35RNg,34,0.562,0.919,1,-3.783,1,0.211,0.00616,0.0,0.106,0.63,86.007,244449,4
22,DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,87,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
23,Papa Roach,Born For Greatness - Remastered 2020,4w18x6612KWiMb9pM10agY,35,0.521,0.874,9,-4.632,0,0.063,0.039,0.0,0.0589,0.283,133.918,227847,4
24,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,84,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4
25,Papa Roach,Help - Remastered 2020,3ViE5zjLk07LjljeUUWtq0,36,0.506,0.919,2,-4.592,1,0.0674,0.000728,4.17e-06,0.295,0.302,91.889,214797,4
26,Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,84,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4
27,Papa Roach,Falling Apart - Remastered 2020,2qkxnCKVOKbQZcO8TEcXH1,33,0.53,0.946,3,-2.694,0,0.0517,4.96e-05,0.0,0.351,0.436,110.052,188920,4
28,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,89,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,4
29,Papa Roach,The Ending - Remastered 2020,6t1OmNgczg0oaGbpfzHVLR,32,0.531,0.895,9,-4.38,0,0.0455,0.0918,2.57e-05,0.118,0.491,89.988,209829,4
30,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,85,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4
31,Papa Roach,Come Around - Remastered 2020,19XsdKehaBTpfhwS6OSdYr,33,0.553,0.92,2,-5.289,1,0.0679,0.0463,0.0023,0.114,0.108,93.012,210962,4
32,Cardi B,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,85,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4
33,Papa Roach,Elevate - Remastered 2020,5vi1VaZmV5CzibWGIcf9G4,32,0.65,0.814,2,-4.406,0,0.0923,0.0281,0.0,0.301,0.642,145.031,190000,4
34,Pop Smoke,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,85,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4
35,The Glitch Mob,Fortune Days - 2020 Remaster,5GWHujc41JAjaiH6gcCjgu,27,0.604,0.624,1,-9.847,0,0.0744,0.44,0.773,0.0754,0.2,105.001,380815,4
